Dictionnaire de données — Observatoire de Population de Ouagadougou (OPO)						
Base de données de suivi démographique (23 tables)  •  327 variables  •  Source : Dictionnaire_des_variables.doc						
						
N°	Table	Description de la table	Nom de la variable	Libellé de la variable	Type de donnée	Modalités / Valeurs codées
110	TBase_Educ	Education_Employment Table	moore	literacy in mooré	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
111	TBase_Educ	Education_Employment Table	dioula	literacy in dioula	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
112	TBase_Educ	Education_Employment Table	fulfulde	literacy in fulfuldé	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
113	TBase_Educ	Education_Employment Table	french	literacy in french	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
114	TBase_Educ	Education_Employment Table	other_natlang	literacy in other national language	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
115	TBase_Educ	Education_Employment Table	other_intlang	literacy in other international language	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value | 0=Not concerned
116	TBase_Educ	Education_Employment Table	entry_date	Interview date	Date	
117	TBase_vacc	Vaccination Table	observeid	OBSERVATION ID	Identifiant	
118	TBase_vacc	Vaccination Table	individid	INDIVIDUAL ID	Identifiant	
119	TBase_vacc	Vaccination Table	socialgpid	HOUSEHOLD ID	Identifiant	
120	TBase_vacc	Vaccination Table	health_record	Child health record seen by field worker	Catégorielle (codes)	1=Yes | 2=No | 99=Don’t known or Missing value
121	TBase_vacc	Vaccination Table	bcg	Date of BCG vaccination	Catégorielle (codes)	01/01/1960 Health record shows vaccine is done but no date reported 01/01/1966 Vaccine is done but date unknown. No health record. 01/01/1800 Doesn’t know if vaccine is done 01/01/1860 Vaccine is done but date not showed in the health record. 01/01/1900 Child has not been vaccined
